Last name, First name	Division	Job Title	Reporting to	Work Email	Work Phone
Baggins, Frodo	Data Enhancement	Data Enhancement Team Lead	Skywalker, Luke	frodo.baggins@fakeio.eu	+420 601 003 562
Gamgee, Samwise	Data Enhancement	Data Enhancement Specialist	Baggins, Frodo	samwise.gamgee@fakeio.eu	+420 601 003 699
Brandybuck, Meriadoc	Data Enhancement	Data Enhancement Analyst	Baggins, Frodo	meriadoc.brandybuck@fakeio.eu	+420 601 003 836
Took, Peregrin	Data Enhancement	Data Enhancement Coordinator	Baggins, Frodo	peregrin.took@fakeio.eu	+420 601 003 973
Elessar, Aragorn	Data Enhancement	Data Enhancement Consultant	Baggins, Frodo	aragorn.elessar@fakeio.eu	+420 601 004 110
Greenleaf, Legolas	Data Enhancement	Data Enhancement Associate	Baggins, Frodo	legolas.greenleaf@fakeio.eu	+420 601 004 247
Gloinsson, Gimli	Data Enhancement	Data Enhancement Strategist	Baggins, Frodo	gimli.gloinsson@fakeio.eu	+420 601 004 384
Grey, Gandalf	Data Enhancement	Data Enhancement Partner	Baggins, Frodo	gandalf.grey@fakeio.eu	+420 601 004 521
Gondor, Boromir	Data Enhancement	Data Enhancement Engineer	Baggins, Frodo	boromir.gondor@fakeio.eu	+420 601 004 658
Lothlorien, Galadriel	Data Enhancement	Data Enhancement Manager	Baggins, Frodo	galadriel.lothlorien@fakeio.eu	+420 601 004 795
Rivendell, Elrond	Data Enhancement	Data Enhancement Expert	Baggins, Frodo	elrond.rivendell@fakeio.eu	+420 601 004 932
Undomiel, Arwen	Data Enhancement	Data Enhancement Specialist	Baggins, Frodo	arwen.undomiel@fakeio.eu	+420 601 005 069
Ithilien, Faramir	Data Enhancement	Data Enhancement Analyst	Baggins, Frodo	faramir.ithilien@fakeio.eu	+420 601 005 206
Rohan, Eowyn	Data Enhancement	Data Enhancement Coordinator	Baggins, Frodo	eowyn.rohan@fakeio.eu	+420 601 005 343
Edoras, Theoden	Data Enhancement	Data Enhancement Consultant	Baggins, Frodo	theoden.edoras@fakeio.eu	+420 601 005 480
Fangorn, Treebeard	Data Enhancement	Data Enhancement Associate	Baggins, Frodo	treebeard.fangorn@fakeio.eu	+420 601 005 617
Baggins, Bilbo	Data Enhancement	Data Enhancement Strategist	Baggins, Frodo	bilbo.baggins@fakeio.eu	+420 601 005 754
Smeagol, Gollum	Data Enhancement	Data Enhancement Partner	Baggins, Frodo	gollum.smeagol@fakeio.eu	+420 601 005 891
White, Saruman	Data Enhancement	Data Enhancement Engineer	Baggins, Frodo	saruman.white@fakeio.eu	+420 601 006 028
Mordor, Sauron	Data Enhancement	Data Enhancement Manager	Baggins, Frodo	sauron.mordor@fakeio.eu	+420 601 006 165
Bombadil, Tom	Data Enhancement	Data Enhancement Expert	Baggins, Frodo	tom.bombadil@fakeio.eu	+420 601 006 302
McFly, Marty	Data Science	Data Science Team Lead	Wozniak, Steve	marty.mcfly@fakeio.eu	+420 601 006 439
Brown, Doc	Data Science	Data Science Specialist	McFly, Marty	doc.brown@fakeio.eu	+420 601 006 576
Tannen, Biff	Data Science	Data Science Analyst	McFly, Marty	biff.tannen@fakeio.eu	+420 601 006 713
Skywalker, Luke	Data Tapix	Data Tapix Team Lead	Musk, Elon	luke.skywalker@fakeio.eu	+420 601 006 850
Organa, Leia	Data Tapix	Data Tapix Specialist	Skywalker, Luke	leia.organa@fakeio.eu	+420 601 006 987
Solo, Han	Data Tapix	Data Tapix Analyst	Skywalker, Luke	han.solo@fakeio.eu	+420 601 007 124
Wookiee, Chewbacca	Data Tapix	Data Tapix Coordinator	Skywalker, Luke	chewbacca.wookiee@fakeio.eu	+420 601 007 261
Kenobi, Obiwan	Data Tapix	Data Tapix Consultant	Skywalker, Luke	obiwan.kenobi@fakeio.eu	+420 601 007 398
Dagobah, Yoda	Data Tapix	Data Tapix Associate	Skywalker, Luke	yoda.dagobah@fakeio.eu	+420 601 007 535
Vader, Darth	Data Tapix	Data Tapix Strategist	Skywalker, Luke	darth.vader@fakeio.eu	+420 601 007 672
Amidala, Padme	Data Tapix	Data Tapix Partner	Skywalker, Luke	padme.amidala@fakeio.eu	+420 601 007 809
Skywalker, Anakin	Data Tapix	Data Tapix Engineer	Skywalker, Luke	anakin.skywalker@fakeio.eu	+420 601 007 946
Calrissian, Lando	Data Tapix	Data Tapix Manager	Skywalker, Luke	lando.calrissian@fakeio.eu	+420 601 008 083
Jakku, Rey	Data Tapix	Data Tapix Expert	Skywalker, Luke	rey.jakku@fakeio.eu	+420 601 008 220
Trooper, Finn	Data Tapix	Data Tapix Specialist	Skywalker, Luke	finn.trooper@fakeio.eu	+420 601 008 357
Dameron, Poe	Data Tapix	Data Tapix Analyst	Skywalker, Luke	poe.dameron@fakeio.eu	+420 601 008 494
Ren, Kylo	Data Tapix	Data Tapix Coordinator	Skywalker, Luke	kylo.ren@fakeio.eu	+420 601 008 631
Windu, Mace	Data Tapix	Data Tapix Consultant	Skywalker, Luke	mace.windu@fakeio.eu	+420 601 008 768
Jinn, QuiGon	Data Tapix	Data Tapix Associate	Skywalker, Luke	quigon.jinn@fakeio.eu	+420 601 008 905
Tano, Ahsoka	Data Tapix	Data Tapix Strategist	Skywalker, Luke	ahsoka.tano@fakeio.eu	+420 601 009 042
Droid, R2D2	Data Tapix	Data Tapix Partner	Skywalker, Luke	r2d2.droid@fakeio.eu	+420 601 009 179
Protocol, C3PO	Data Tapix	Data Tapix Engineer	Skywalker, Luke	c3po.protocol@fakeio.eu	+420 601 009 316
Hutt, Jabba	Data Tapix	Data Tapix Manager	Skywalker, Luke	jabba.hutt@fakeio.eu	+420 601 009 453
Fett, Boba	Data Tapix	Data Tapix Expert	Skywalker, Luke	boba.fett@fakeio.eu	+420 601 009 590
Fett, Jango	Data Tapix	Data Tapix Specialist	Skywalker, Luke	jango.fett@fakeio.eu	+420 601 009 727
Mandalore, Grogu	Data Tapix	Data Tapix Analyst	Skywalker, Luke	grogu.mandalore@fakeio.eu	+420 601 009 864
Djarin, Din	Data Tapix	Data Tapix Coordinator	Skywalker, Luke	din.djarin@fakeio.eu	+420 601 010 001
Mothma, Mon	Data Tapix	Data Tapix Consultant	Skywalker, Luke	mon.mothma@fakeio.eu	+420 601 010 138
Ackbar, Admiral	Data Tapix	Data Tapix Associate	Skywalker, Luke	admiral.ackbar@fakeio.eu	+420 601 010 275
Antilles, Wedge	Data Tapix	Data Tapix Strategist	Skywalker, Luke	wedge.antilles@fakeio.eu	+420 601 010 412
Toledo, Tokyo	Finance	Finance Team Lead	Musk, Elon	tokyo.toledo@fakeio.eu	+420 601 010 549
Salvador, Professor	Finance	Finance Specialist	Toledo, Tokyo	professor.salvador@fakeio.eu	+420 601 010 686
Jimenez, Nairobi	Finance	Finance Analyst	Toledo, Tokyo	nairobi.jimenez@fakeio.eu	+420 601 010 823
Scott, Michael	IT	IT Team Lead	Musk, Elon	michael.scott@fakeio.eu	+420 601 010 960
Schrute, Dwight	IT	IT Specialist	Scott, Michael	dwight.schrute@fakeio.eu	+420 601 011 097
Halpert, Jim	IT	IT Analyst	Scott, Michael	jim.halpert@fakeio.eu	+420 601 011 234
Beesly, Pam	IT	IT Coordinator	Scott, Michael	pam.beesly@fakeio.eu	+420 601 011 371
Hudson, Stanley	IT	IT Consultant	Scott, Michael	stanley.hudson@fakeio.eu	+420 601 011 508
Martin, Angela	IT	IT Associate	Scott, Michael	angela.martin@fakeio.eu	+420 601 011 645
Malone, Kevin	IT	IT Strategist	Scott, Michael	kevin.malone@fakeio.eu	+420 601 011 782
Martinez, Oscar	IT	IT Partner	Scott, Michael	oscar.martinez@fakeio.eu	+420 601 011 919
Vance, Phyllis	IT	IT Engineer	Scott, Michael	phyllis.vance@fakeio.eu	+420 601 012 056
Palmer, Meredith	IT	IT Manager	Scott, Michael	meredith.palmer@fakeio.eu	+420 601 012 193
Bratton, Creed	IT	IT Expert	Scott, Michael	creed.bratton@fakeio.eu	+420 601 012 330
Kapoor, Kelly	IT	IT Specialist	Scott, Michael	kelly.kapoor@fakeio.eu	+420 601 012 467
Howard, Ryan	IT	IT Analyst	Scott, Michael	ryan.howard@fakeio.eu	+420 601 012 604
Bernard, Andy	IT	IT Coordinator	Scott, Michael	andy.bernard@fakeio.eu	+420 601 012 741
Flenderson, Toby	IT	IT Consultant	Scott, Michael	toby.flenderson@fakeio.eu	+420 601 012 878
Philbin, Darryl	IT	IT Associate	Scott, Michael	darryl.philbin@fakeio.eu	+420 601 013 015
Hannon, Erin	IT	IT Strategist	Scott, Michael	erin.hannon@fakeio.eu	+420 601 013 152
Levinson, Jan	IT	IT Partner	Scott, Michael	jan.levinson@fakeio.eu	+420 601 013 289
Wallace, David	IT	IT Engineer	Scott, Michael	david.wallace@fakeio.eu	+420 601 013 426
Flax, Holly	IT	IT Manager	Scott, Michael	holly.flax@fakeio.eu	+420 601 013 563
Schrute, Mose	IT	IT Expert	Scott, Michael	mose.schrute@fakeio.eu	+420 601 013 700
Musk, Elon	Management	CEO		elon.musk@fakeio.eu	+420 601 013 837
Jobs, Steve	Management	CEO		steve.jobs@fakeio.eu	+420 601 013 974
Faltskog, Agnetha	Marketing	Marketing Team Lead	Jobs, Steve	agnetha.faltskog@fakeio.eu	+420 601 014 111
Ulvaeus, Bjorn	Marketing	Marketing Specialist	Faltskog, Agnetha	bjorn.ulvaeus@fakeio.eu	+420 601 014 248
Andersson, Benny	Marketing	Marketing Analyst	Faltskog, Agnetha	benny.andersson@fakeio.eu	+420 601 014 385
Lyngstad, AnniFrid	Marketing	Marketing Coordinator	Faltskog, Agnetha	annifrid.lyngstad@fakeio.eu	+420 601 014 522
Queen, Dancing	Marketing	Marketing Consultant	Faltskog, Agnetha	dancing.queen@fakeio.eu	+420 601 014 659
Waterloo, Fernando	Marketing	Marketing Associate	Faltskog, Agnetha	fernando.waterloo@fakeio.eu	+420 601 014 796
Mia, Mamma	Marketing	Marketing Strategist	Faltskog, Agnetha	mamma.mia@fakeio.eu	+420 601 014 933
Trouper, Super	Marketing	Marketing Partner	Faltskog, Agnetha	super.trouper@fakeio.eu	+420 601 015 070
Green, Rachel	People	People Team Lead	Musk, Elon	rachel.green@fakeio.eu	+420 601 015 207
Geller, Monica	People	People Specialist	Green, Rachel	monica.geller@fakeio.eu	+420 601 015 344
Buffay, Phoebe	People	People Analyst	Green, Rachel	phoebe.buffay@fakeio.eu	+420 601 015 481
Tribbiani, Joey	People	People Coordinator	Green, Rachel	joey.tribbiani@fakeio.eu	+420 601 015 618
Pride, Woody	Product	Product Team Lead	Jobs, Steve	woody.pride@fakeio.eu	+420 601 015 755
Lightyear, Buzz	Product	Product Specialist	Pride, Woody	buzz.lightyear@fakeio.eu	+420 601 015 892
Yodel, Jessie	Product	Product Analyst	Pride, Woody	jessie.yodel@fakeio.eu	+420 601 016 029
Peep, Bo	Product	Product Coordinator	Pride, Woody	bo.peep@fakeio.eu	+420 601 016 166
Dinosaur, Rex	Product	Product Consultant	Pride, Woody	rex.dinosaur@fakeio.eu	+420 601 016 303
Piggy, Hamm	Product	Product Associate	Pride, Woody	hamm.piggy@fakeio.eu	+420 601 016 440
Snow, Jon	Sales Platform	Sales Platform Team Lead	Jobs, Steve	jon.snow@fakeio.eu	+420 601 016 577
Targaryen, Daenerys	Sales Platform	Sales Platform Specialist	Snow, Jon	daenerys.targaryen@fakeio.eu	+420 601 016 714
Lannister, Tyrion	Sales Platform	Sales Platform Analyst	Snow, Jon	tyrion.lannister@fakeio.eu	+420 601 016 851
Stark, Arya	Sales Platform	Sales Platform Coordinator	Snow, Jon	arya.stark@fakeio.eu	+420 601 016 988
Stark, Sansa	Sales Platform	Sales Platform Consultant	Snow, Jon	sansa.stark@fakeio.eu	+420 601 017 125
Stark, Bran	Sales Platform	Sales Platform Associate	Snow, Jon	bran.stark@fakeio.eu	+420 601 017 262
Lannister, Cersei	Sales Platform	Sales Platform Strategist	Snow, Jon	cersei.lannister@fakeio.eu	+420 601 017 399
Lannister, Jaime	Sales Platform	Sales Platform Partner	Snow, Jon	jaime.lannister@fakeio.eu	+420 601 017 536
Stark, Ned	Sales Platform	Sales Platform Engineer	Snow, Jon	ned.stark@fakeio.eu	+420 601 017 673
Stark, Catelyn	Sales Platform	Sales Platform Manager	Snow, Jon	catelyn.stark@fakeio.eu	+420 601 017 810
Stark, Robb	Sales Platform	Sales Platform Expert	Snow, Jon	robb.stark@fakeio.eu	+420 601 017 947
Mormont, Jorah	Sales Platform	Sales Platform Specialist	Snow, Jon	jorah.mormont@fakeio.eu	+420 601 018 084
Tarth, Brienne	Sales Platform	Sales Platform Analyst	Snow, Jon	brienne.tarth@fakeio.eu	+420 601 018 221
Clegane, Sandor	Sales Platform	Sales Platform Coordinator	Snow, Jon	sandor.clegane@fakeio.eu	+420 601 018 358
Clegane, Gregor	Sales Platform	Sales Platform Consultant	Snow, Jon	gregor.clegane@fakeio.eu	+420 601 018 495
Baelish, Petyr	Sales Platform	Sales Platform Associate	Snow, Jon	petyr.baelish@fakeio.eu	+420 601 018 632
Spider, Varys	Sales Platform	Sales Platform Strategist	Snow, Jon	varys.spider@fakeio.eu	+420 601 018 769
Tarly, Samwell	Sales Platform	Sales Platform Partner	Snow, Jon	samwell.tarly@fakeio.eu	+420 601 018 906
Craster, Gilly	Sales Platform	Sales Platform Engineer	Snow, Jon	gilly.craster@fakeio.eu	+420 601 019 043
Greyjoy, Theon	Sales Platform	Sales Platform Manager	Snow, Jon	theon.greyjoy@fakeio.eu	+420 601 019 180
Greyjoy, Yara	Sales Platform	Sales Platform Expert	Snow, Jon	yara.greyjoy@fakeio.eu	+420 601 019 317
Greyjoy, Euron	Sales Platform	Sales Platform Specialist	Snow, Jon	euron.greyjoy@fakeio.eu	+420 601 019 454
Red, Melisandre	Sales Platform	Sales Platform Analyst	Snow, Jon	melisandre.red@fakeio.eu	+420 601 019 591
Seaworth, Davos	Sales Platform	Sales Platform Coordinator	Snow, Jon	davos.seaworth@fakeio.eu	+420 601 019 728
Blackwater, Bronn	Sales Platform	Sales Platform Consultant	Snow, Jon	bronn.blackwater@fakeio.eu	+420 601 019 865
Stark, Tony	Sales Tapix	Sales Tapix Team Lead	Musk, Elon	tony.stark@fakeio.eu	+420 601 020 002
Rogers, Steve	Sales Tapix	Sales Tapix Specialist	Stark, Tony	steve.rogers@fakeio.eu	+420 601 020 139
Romanoff, Natasha	Sales Tapix	Sales Tapix Analyst	Stark, Tony	natasha.romanoff@fakeio.eu	+420 601 020 276
Banner, Bruce	Sales Tapix	Sales Tapix Coordinator	Stark, Tony	bruce.banner@fakeio.eu	+420 601 020 413
Odinson, Thor	Sales Tapix	Sales Tapix Consultant	Stark, Tony	thor.odinson@fakeio.eu	+420 601 020 550
Barton, Clint	Sales Tapix	Sales Tapix Associate	Stark, Tony	clint.barton@fakeio.eu	+420 601 020 687
Maximoff, Wanda	Sales Tapix	Sales Tapix Strategist	Stark, Tony	wanda.maximoff@fakeio.eu	+420 601 020 824
Jarvis, Vision	Sales Tapix	Sales Tapix Partner	Stark, Tony	vision.jarvis@fakeio.eu	+420 601 020 961
Parker, Peter	Sales Tapix	Sales Tapix Engineer	Stark, Tony	peter.parker@fakeio.eu	+420 601 021 098
Strange, Stephen	Sales Tapix	Sales Tapix Manager	Stark, Tony	stephen.strange@fakeio.eu	+420 601 021 235
Danvers, Carol	Sales Tapix	Sales Tapix Expert	Stark, Tony	carol.danvers@fakeio.eu	+420 601 021 372
Lang, Scott	Sales Tapix	Sales Tapix Specialist	Stark, Tony	scott.lang@fakeio.eu	+420 601 021 509
Pym, Hope	Sales Tapix	Sales Tapix Analyst	Stark, Tony	hope.pym@fakeio.eu	+420 601 021 646
Wakanda, TChalla	Sales Tapix	Sales Tapix Coordinator	Stark, Tony	tchalla.wakanda@fakeio.eu	+420 601 021 783
Wilson, Sam	Sales Tapix	Sales Tapix Consultant	Stark, Tony	sam.wilson@fakeio.eu	+420 601 021 920
Barnes, Bucky	Sales Tapix	Sales Tapix Associate	Stark, Tony	bucky.barnes@fakeio.eu	+420 601 022 057
Laufeyson, Loki	Sales Tapix	Sales Tapix Strategist	Stark, Tony	loki.laufeyson@fakeio.eu	+420 601 022 194
Fury, Nick	Sales Tapix	Sales Tapix Partner	Stark, Tony	nick.fury@fakeio.eu	+420 601 022 331
Kay, Agent	Visa	Visa Team Lead	Jobs, Steve	agent.kay@fakeio.eu	+420 601 022 468
Jay, Agent	Visa	Visa Specialist	Kay, Agent	agent.jay@fakeio.eu	+420 601 022 605
